Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  Egzaminas
Pavarde1       Vardas1        5    7    1    9    9    8        
Pavarde2       Vardas2        7    7    0    1    10   5        
Pavarde3       Vardas3        7    3    7    6    8    5        
Pavarde4       Vardas4        10   8    7    7    2    9        
Pavarde5       Vardas5        7    6    5    8    7    6        
Pavarde6       Vardas6        2    10   10   9    1    2        
Pavarde7       Vardas7        7    4    5    7    9    4        
Pavarde8       Vardas8        0    5    0    7    6    5        
Pavarde9       Vardas9        10   3    1    5    4    5        
Pavarde10      Vardas10       8    7    6    0    0    6        
Pavarde11      Vardas11       10   2    5    3    10   7        
Pavarde12      Vardas12       1    1    10   3    10   9        
Pavarde13      Vardas13       4    2    5    5    8    6        
Pavarde14      Vardas14       0    5    6    5    6    6        
Pavarde15      Vardas15       7    5    6    5    4    1        
Pavarde16      Vardas16       0    4    4    8    0    4        
Pavarde17      Vardas17       7    4    8    5    3    3        
Pavarde18      Vardas18       7    7    8    0    2    8        
Pavarde19      Vardas19       9    7    2    5    1    4        
Pavarde20      Vardas20       1    4    8    3    10   0        
Pavarde21      Vardas21       6    3    2    9    2    6        
Pavarde22      Vardas22       6    4    7    5    9    5        
Pavarde23      Vardas23       7    10   9    7    10   1        
Pavarde24      Vardas24       10   0    0    2    7    0        
Pavarde25      Vardas25       9    10   1    1    10   7        
Pavarde26      Vardas26       7    1    6    6    9    9        
Pavarde27      Vardas27       1    8    5    7    9    9        
Pavarde28      Vardas28       4    7    4    10   0    3        
Pavarde29      Vardas29       9    2    3    6    7    5        
Pavarde30      Vardas30       9    0    0    2    8    9        
Pavarde31      Vardas31       9    7    8    9    4    9        
Pavarde32      Vardas32       10   10   5    10   4    3        
Pavarde33      Vardas33       6    10   1    9    10   8        
Pavarde34      Vardas34       5    4    4    9    10   10       
Pavarde35      Vardas35       9    6    8    8    2    8        
Pavarde36      Vardas36       10   7    5    3    8    9        
Pavarde37      Vardas37       3    9    10   2    3    5        
Pavarde38      Vardas38       7    5    10   1    10   10       
Pavarde39      Vardas39       8    9    2    3    7    10       
Pavarde40      Vardas40       5    3    5    1    9    3        
Pavarde41      Vardas41       9    5    1    7    1    10       
Pavarde42      Vardas42       5    10   5    5    8    4        
Pavarde43      Vardas43       2    6    8    0    2    6        
Pavarde44      Vardas44       8    7    1    4    9    10       
Pavarde45      Vardas45       1    0    6    4    10   2        
Pavarde46      Vardas46       9    4    2    7    8    4        
Pavarde47      Vardas47       3    8    7    4    2    4        
Pavarde48      Vardas48       3    8    0    9    10   3        
Pavarde49      Vardas49       8    6    10   6    0    4        
Pavarde50      Vardas50       7    3    9    0    0    9        
Pavarde51      Vardas51       6    8    4    3    1    0        
Pavarde52      Vardas52       9    5    8    5    5    2        
Pavarde53      Vardas53       3    10   4    2    2    4        
Pavarde54      Vardas54       2    0    2    10   0    0        
Pavarde55      Vardas55       1    5    0    8    7    6        
Pavarde56      Vardas56       8    8    5    3    2    2        
Pavarde57      Vardas57       1    1    9    0    2    10       
Pavarde58      Vardas58       1    6    6    10   0    0        
Pavarde59      Vardas59       9    7    0    7    3    1        
Pavarde60      Vardas60       5    1    4    8    8    8        
Pavarde61      Vardas61       0    10   5    8    1    2        
Pavarde62      Vardas62       8    7    4    5    6    2        
Pavarde63      Vardas63       5    8    8    8    2    4        
Pavarde64      Vardas64       10   6    5    10   4    1        
Pavarde65      Vardas65       7    8    3    0    6    5        
Pavarde66      Vardas66       9    8    7    7    2    8        
Pavarde67      Vardas67       7    8    4    5    5    7        
Pavarde68      Vardas68       10   0    4    10   6    3        
Pavarde69      Vardas69       7    2    7    6    4    8        
Pavarde70      Vardas70       2    4    8    1    10   3        
Pavarde71      Vardas71       7    10   5    4    9    5        
Pavarde72      Vardas72       2    7    2    7    10   0        
Pavarde73      Vardas73       9    3    9    6    0    3        
Pavarde74      Vardas74       3    9    9    10   0    4        
Pavarde75      Vardas75       9    0    10   8    10   3        
Pavarde76      Vardas76       1    9    2    0    2    2        
Pavarde77      Vardas77       8    3    10   3    4    2        
Pavarde78      Vardas78       3    6    8    10   7    6        
Pavarde79      Vardas79       9    6    5    1    1    7        
Pavarde80      Vardas80       5    3    10   9    10   6        
Pavarde81      Vardas81       9    9    0    8    3    6        
Pavarde82      Vardas82       8    2    6    8    8    7        
Pavarde83      Vardas83       6    8    0    2    2    5        
Pavarde84      Vardas84       9    9    10   10   9    9        
Pavarde85      Vardas85       5    9    4    4    9    3        
Pavarde86      Vardas86       5    4    8    2    4    0        
Pavarde87      Vardas87       3    1    2    6    6    1        
Pavarde88      Vardas88       1    4    5    5    0    5        
Pavarde89      Vardas89       3    8    0    4    4    10       
Pavarde90      Vardas90       3    1    4    4    4    9        
Pavarde91      Vardas91       6    1    5    2    10   6        
Pavarde92      Vardas92       2    0    5    9    5    3        
Pavarde93      Vardas93       7    9    6    8    9    2        
Pavarde94      Vardas94       2    10   6    0    3    1        
Pavarde95      Vardas95       7    1    3    5    9    4        
Pavarde96      Vardas96       0    7    6    3    6    2        
Pavarde97      Vardas97       0    8    1    10   0    3        
Pavarde98      Vardas98       3    7    10   10   1    9        
Pavarde99      Vardas99       8    9    8    0    4    4        
Pavarde100     Vardas100      10   1    2    0    1    2        
